Position,MVP_Nominated,FG_Pct,3P_Pct,2P_Pct,PTS,3P,2P,AST,STL,BLK,REB,Player,Season,Vote_Share_Pct,MP_per_Game
SG,0,45.8,38.3,49.0,17.5,1.7,5.0,3.0,1.2,0.2,3.8,O.J. Mayo,10-10,0.0,38.0
PF,0,47.0,37.2,50.9,17.2,1.5,5.2,1.2,0.3,1.4,6.2,Andrea Bargnani,10-10,0.0,35.0
SF,0,44.3,31.0,49.2,17.1,1.1,4.9,5.8,1.7,0.7,6.5,Andre Iguodala,10-10,0.0,38.9
C,0,49.8,0.0,50.0,17.1,0.0,7.4,1.8,0.8,1.3,9.3,Al Jefferson,10-10,0.0,32.4
SG,0,44.9,37.1,50.3,16.9,1.9,3.8,3.0,1.1,0.2,2.6,Eric Gordon,10-10,0.0,36.0
PG,0,40.3,27.6,44.4,16.9,0.9,4.6,6.6,1.2,0.3,3.2,Devin Harris,10-10,0.0,34.7
PF,0,53.6,33.3,53.7,16.8,0.0,6.2,0.8,0.7,0.8,5.9,Carl Landry,10-10,0.0,30.9
PF,0,54.7,,54.7,16.1,0.0,5.8,0.8,0.5,0.9,5.5,Carl Landry,10-10,0.0,27.2
PF,0,52.0,33.3,52.1,18.0,0.0,7.0,0.9,1.0,0.6,6.5,Carl Landry,10-10,0.0,37.6
SG,0,42.8,36.7,45.6,16.6,1.6,4.2,3.1,0.7,0.2,3.9,Vince Carter,10-10,0.0,30.8
PG,0,40.5,22.8,41.8,16.6,0.2,5.9,4.8,1.4,0.2,3.8,Rodney Stuckey,10-10,0.0,34.2
SG,0,43.8,36.5,47.9,16.6,1.8,4.2,3.8,1.2,0.2,1.8,Jason Terry,10-10,0.0,33.0
SG,1,44.1,37.7,48.1,16.5,1.8,3.5,4.9,1.4,0.3,3.8,Manu Ginóbili,10-10,0.2,28.7
PG,1,50.7,42.6,54.0,16.5,1.5,4.6,11.0,0.5,0.1,3.3,Steve Nash,10-10,4.0,32.8
SG,0,42.8,29.0,45.0,16.3,0.6,5.5,2.1,1.6,0.3,6.2,Caron Butler,10-10,0.0,37.6
SF,0,42.2,26.3,44.7,16.9,0.5,5.7,2.3,1.4,0.3,6.7,Caron Butler,10-10,0.0,39.4
SG,0,44.0,34.0,45.6,15.2,0.6,5.2,1.8,1.8,0.3,5.4,Caron Butler,10-10,0.0,34.4
SG,0,47.7,36.3,55.6,16.3,1.8,4.0,2.6,0.8,0.3,3.2,Ray Allen,10-10,0.0,35.2
PF,0,51.4,20.0,51.5,16.2,0.0,6.8,2.1,0.8,0.3,8.6,Luis Scola,10-10,0.0,32.6
